participant_id,video_id,perceived_msv,age,gender,race,education,income,sen_seek,video_order,gender_female,race_white,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
2,80,5.411764706,47,Female,Black or African American,5.0,2.0,1.875,9,Yes,No,1_62,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
3,75,5.411764706,45,Female,White or Caucasian,4.0,3.0,2.75,4,Yes,Yes,1_58,7.0,7.0,1.0,6.0,4.0,6.0,7.0,7.0,5.0,5.0,3.0,6.0,7.0,5.0,6.0,5.0,5.0
4,75,5.588235294,32,Male,White or Caucasian,5.0,5.0,2.625,1,No,Yes,1_58,7.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,1.0,6.0,6.0,7.0,6.0,4.0,6.0,7.0,4.0
5,47,5.058823529,53,Female,White or Caucasian,3.0,4.0,1.75,3,Yes,Yes,1_32,6.0,6.0,1.0,6.0,4.0,4.0,7.0,7.0,4.0,5.0,6.0,6.0,5.0,4.0,5.0,6.0,4.0
6,47,5.0,35,Female,White or Caucasian,6.0,6.0,1.75,1,Yes,Yes,1_32,5.0,6.0,3.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0
6,120,3.117647059,35,Female,White or Caucasian,6.0,6.0,1.75,6,Yes,Yes,1_99,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0
6,111,3.705882353,35,Female,White or Caucasian,6.0,6.0,1.75,9,Yes,Yes,1_90,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,6.0,3.0,4.0,4.0
7,47,4.117647059,35,Female,White or Caucasian,2.0,,1.25,1,Yes,Yes,1_32,6.0,4.0,1.0,5.0,2.0,5.0,6.0,6.0,1.0,2.0,5.0,5.0,3.0,6.0,5.0,4.0,4.0
7,8,3.411764706,35,Female,White or Caucasian,2.0,,1.25,10,Yes,Yes,1_105,2.0,4.0,1.0,2.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,5.0,3.0,7.0,4.0,5.0,4.0
8,111,3.470588235,37,Male,White or Caucasian,5.0,2.0,2.25,7,No,Yes,1_90,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0
9,111,1.352941176,23,Male,White or Caucasian,1.0,1.0,3.625,7,No,Yes,1_90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0
11,40,1.294117647,33,Male,White or Caucasian,5.0,3.0,2.625,4,No,Yes,1_26,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
11,84,1.0,33,Male,White or Caucasian,5.0,3.0,2.625,9,No,Yes,1_66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,89,4.941176471,74,Female,White or Caucasian,6.0,4.0,1.625,8,Yes,Yes,1_70,6.0,6.0,4.0,5.0,7.0,4.0,4.0,3.0,5.0,6.0,7.0,6.0,7.0,1.0,6.0,6.0,1.0
13,47,6.235294118,57,Female,White or Caucasian,2.0,1.0,3.375,3,Yes,Yes,1_32,7.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0
13,72,4.0,57,Female,White or Caucasian,2.0,1.0,3.375,4,Yes,Yes,1_55,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
